8605,11,Aktuell,Messen,Hobbytronik
8605,12,Aktuell,Messen,Das Klangspektakel
8605,12—13,Aktuell,Diskette,Schnelle Floppy für wenig Geld: Dolphin-DOS Kurztest
8605,24—27,Hardware-Test,Drucker,Die Regenbogendrucker (Farbdruckerübersicht)
8605,29—32,Software-Grundlagen und Kurse,Grafik für Profis,Grafik für Profis (Teil 1)
8605,34—36,Software-Test,Grafik,Zeichenprogramme im Vergleich — Profipainter — HiEddi
8605,38—39,Marktübersichten,Grafik,Was gibt's Neues zum Thema Grafik? (Grafiksoftware)
8605,44—46,Software-Test,Textverarbeitung C 128,Vizawrite Classic 128 — Gutes noch besser?
8605,52—62,Listings zum Abtippen,Diskette,Abrakadabra - Disk Wizard
8605,63—69,Listings zum Abtippen,Drucker Grafik,Super-Hardcopies für Epson-Drucker und Kompatible
8605,69,Listings zum Abtippen,Grafik,Greatprint
8605,70—76,Listings zum Abtippen,Drucker Grafik,Extravagante Hardcopies
8605,79—81,Listings zum Abtippen,Drucker Grafik,Der Epson-Plotter
8605,81—85,Listings zum Abtippen,Grafik,Character-Editor
8605,86—87,Listings zum Abtippen,Spiele,Steel Slab
8605,90,Einsteiger,Tips & Tricks,Tips & Tricks für Einsteiger
8605,91,"Tips & Tricks C 16, 116, Plus/4",Verschiedenes,"Tips & Tricks zum C 16, C 116, Plus/4"
8605,92—93,64'er Extra,DFÜ,DFÜ-Überblick
8605,94—95,Tips & Tricks C 128,Reisebericht,Reise durch den C 128 (Teil 2)
8605,96—98,Tips & Tricks C 128,Verschiedenes,Tips & Tricks zum C 128
8605,99—102,Tips & Tricks C 64,Profis,Tips & Tricks für Profis
8605,103,Tips & Tricks C 64,Programmierung,Basic Basic-Programme im Interrupt
8605,107,Buchbesprechungen,C 128,C 128 — Das große Grafik-Buch
8605,107,Buchbesprechungen,Grafik,C 64: Wunderland der Grafik
8605,107,Buchbesprechungen,C 128,Grafikprogrammierung C 128
8605,142—148,Software-Grundlagen und Kurse,Sprachen: Pascal,Pascal-Kurs für Anfänger (Teil 3)
8605,160—163,Software-Test,Drucker Grafik,Fontmaster II — NLQ im Nu
8605,164,Spiele-Test,Geschicklichkeitsspiele,Geschickter Joystick (Bounder/Gyroscope)
8605,168—171,Tips & Tricks Anwenderprogramme,Datenbank,Superbase 64 (Teil 2)
8605,171—172,Tips & Tricks Anwenderprogramme,Textverarbeitung,Tips & Tricks zu Vizawrite 64 (Teil 5)
8606,8,Aktuell,Firmen,Die Konzentration beginnt
8606,8,Aktuell,Spiele,Europäische Gemeinschaft für Computer-Spiele
8606,9,Aktuell,Commodore,Commodore schlägt zu
8606,10—12,Aktuell,Messen,CeBIT-Messe: Wohin geht die Entwicklung
8606,13,Aktuell,Verschiedenes,C 64 Hard- und Software aus Ungarn
8606,13,Aktuell,Messen,Softwaremesse »Programma«
8606,19—43,Aktuell,Computer,Der Neue: C 64C
8606,26—27,Hardware-Test,Drucker,MT 85 — der Leisetreter
8606,27—29,Hardware-Test,Sound,Computer-Musik (Yamaha-Modul)
8606,30—31,Marktübersichten,Zubehör,Druckermöbel
8606,32—32,Verschiedenes,Zubehör,Computer-Möbel — Kauf oder Selbstbau?
8606,34—36,Verschiedenes,Zubehör Diskette,Rund um das Diskettenlaufwerk
8606,37,Verschiedenes,Zubehör Monitor,Rund um den Monitor
8606,38,Verschiedenes,Zubehör,Computer-Wäsche
8606,40—52,Software-Grundlagen und Kurse,Programmierung,Alles über Programmierhilfen
8606,40—43,Datenfernübertragung,Datenbanken,Datenbanken
8606,42,Hardware-Test,Grafik,Neues vom Superscanner (Scantronic-Scanner)
8606,44—46,Software-Grundlagen und Kurse,Datenbanken,Datei ohne Grenzen?
8606,46—47,Software-Test,Datenbanken,Die Verwaltungs-Profis
8606,48—54,Anwendung des Monats,Diskette,ProDisc — eine professionelle Diskettenverwaltung
8606,49—50,Hardware-Grundlagen,Hardwarekurs,Kennen Sie Ihren C 64 (Teil 3)
8606,50—65,Listings zum Abtippen,Verschiedenes,Digi-Controller (Digitalschaltungen entwerfen/prüfen)
8606,52—58,Anwendung des Monats,Lernen,Vokabel-Trainer
8606,55—69,Listings zum Abtippen,Textverarbeitung,Master-Text - Textverarbeitung hoch drei
8606,69—70,Listings zum Abtippen,Diskette Drucker,Professionelle Disk-Etiketten
8606,72,Listings zum Abtippen,Drucker Grafik,In der Kürze liegt die Würze
8606,76—78,Einsteiger,Tips & Tricks,Tips & Tricks für Einsteiger
8606,78—80,Tips & Tricks C 64,Profis,Tips & Tricks für Profis
