Software-Grundlagen,Sound,Spielen mit Musik und Grafik,7/86,73,,
Software-Grundlagen,Speicher ,Die Zeropage-Straße des C128,7/86,66,,
Software-Grundlagen,Z80,Z80 – Der CP/M-Steuermann,12,68,,
Software-Test,Anwendung,Briefe schreiben leicht gemacht,8/86,94,,
Software-Test,Anwendung,dBase II – Die Super-Datenbank,1/86,78,,
Software-Test,Anwendung,Multiplan,1/86,74,,
Software-Test,Anwendung,Test: Wordstar,1/86,70,,
Software-Test,Grafik,Grafikprogramme ,5/86,132,,
Software-Test,Programmiersprachen,Prolog – die Sprache der künstlichen Intelligenz,12,43,,
Software-Test,Programmiersprachen,"Schneller, umfangreicher, Turbo-Pascal",12,35,,
Software-Test,Programmiersprachen,Turbo-Pascal auf dem C128,1/86,87,,
Software-Test,Sortieren,Rettungsboote in der Datenflut,12,133,,
Software-Test,Sprachen,Basic unter CP/M: MS- und C-Basic,10,24,,
Listings zum Abtippen,Adventure ,Adventure satt!,4/86,161,,
Listings zum Abtippen,Adventure ,Spion III – die Jagd nach der Bombe,4/86,134,,
Listings zum Abtippen,Adventure ,Wie im Eisen der Fuchs...,4/86,133,,
Listings zum Abtippen,Adventure ,Asterix und Obelix – Die Odyssee,4/86,126,,
Listings zum Abtippen,Adventure ,Der kleine Hobbit,4/86,111,,
Listings zum Abtippen,Adventure ,LIFE – Das Spiel des Lebens,3/86,135,,
Listings zum Abtippen,Adventure ,Cohan's Land,4/86,119,,
Listings zum Abtippen,Adventure ,The Sword – die Magierprüfung,4/86,142,,
Listings zum Abtippen,Adventure ,Odyssee – Kampf in der Wildnis,4/86,96,,
Listings zum Abtippen,Adventure ,Freiheit,4/86,149,,
Listings zum Abtippen,Adventure ,Zauberschloss – das Abenteuerspiel,2/85,53,,
Listings zum Abtippen,Adventure ,Inka – Schatzsuche am Amazonas,4/86,127,,
Listings zum Abtippen,Adventure ,Quasimodo – Herrscher der Kartanen ,2/85,76,,
Listings zum Abtippen,Adventure ,"Mario, die unheimliche Mine",2/85,80,,
Listings zum Abtippen,Adventure ,Adventure 2000 – Die Jagd,2/85,65,,
Listings zum Abtippen,Adventure ,Zeittunnel – Flucht in die Gegenwart,2/85,93,,
